No. of Stiffeners (N),Stiffener Spacing (l) in mm,Stiffener Thickness (ts) in mm,Stiffener Height (hs) in mm,Stiffener Area in mm2,Buckling Strength MPa
13,63.50,2.62,13.00,34.02,3.5170
13,63.50,2.52,13.50,34.02,3.6254
17,49.39,6.55,4.00,26.19,0.9757
17,49.39,5.82,4.50,26.19,1.0727
17,49.39,5.24,5.00,26.19,1.2052
17,49.39,4.76,5.50,26.19,1.3529
17,49.39,4.37,6.00,26.19,1.5193
17,49.39,4.03,6.50,26.19,1.7070
17,49.39,3.74,7.00,26.19,1.8983
17,49.39,3.49,7.50,26.19,2.0904
17,49.39,3.27,8.00,26.19,2.2871
17,49.39,3.08,8.50,26.19,2.5796
17,49.39,2.91,9.00,26.19,2.7583
17,49.39,2.76,9.50,26.19,2.8578
17,49.39,2.62,10.00,26.19,2.9638
17,49.39,2.49,10.50,26.19,3.0723
17,49.39,2.38,11.00,26.19,3.1888
17,49.39,2.28,11.50,26.19,3.3100
17,49.39,2.18,12.00,26.19,3.4307
17,49.39,2.10,12.50,26.19,3.5627
17,49.39,2.01,13.00,26.19,3.6777
17,49.39,1.94,13.50,26.19,3.8033
3,222.25,2,74.61,149.21,1.394
3,222.25,3,49.74,149.21,1.413
3,222.25,4,37.3,149.21,1.427
3,222.25,5,29.84,149.21,1.435
3,222.25,6,24.87,149.21,1.44
3,222.25,7,21.32,149.21,1.444
3,222.25,8,18.65,149.21,1.447
3,222.25,9,16.58,149.21,1.449
3,222.25,10,14.92,149.21,1.451
3,222.25,11,13.56,149.21,1.453
3,222.25,12,12.43,149.21,1.455
3,222.25,13,11.48,149.21,1.457
3,222.25,14,10.66,149.21,1.459
3,222.25,15,9.95,149.21,1.46
3,222.25,16,9.33,149.21,1.462
3,222.25,17,8.78,149.21,1.463
3,222.25,18,8.29,149.21,1.465
3,222.25,19,7.85,149.21,1.466
3,222.25,20,7.46,149.21,1.423
3,222.25,21,7.11,149.21,1.351
3,222.25,22,6.78,149.21,1.282
3,222.25,23,6.49,149.21,1.222
3,222.25,24,6.22,149.21,1.169
3,222.25,25,5.97,149.21,1.12
3,222.25,26,5.74,149.21,1.084
3,222.25,27,5.53,149.21,1.047
3,222.25,28,5.33,149.21,1.015
3,222.25,29,5.15,149.21,0.991
3,222.25,30,4.97,149.21,0.958
3,222.25,31,4.81,149.21,0.933
3,222.25,32,4.66,149.21,0.917
3,222.25,33,4.52,149.21,0.909
3,222.25,34,4.39,149.21,0.897
3,222.25,35,4.26,149.21,0.886
3,222.25,36,4.14,149.21,0.885
3,222.25,37,4.03,149.21,0.88
3,222.25,38,3.93,149.21,0.871
3,222.25,39,3.83,149.21,0.864
3,222.25,40,3.73,149.21,0.859
3,222.25,41,3.64,149.21,0.861
3,222.25,42,3.55,149.21,0.84
3,222.25,43,3.47,149.21,0.822
3,222.25,44,3.39,149.21,0.824
3,222.25,45,3.32,149.21,0.828
3,222.25,46,3.24,149.21,0.829
3,222.25,47,3.17,149.21,0.833
3,222.25,48,3.11,149.21,0.836
3,222.25,49,3.05,149.21,0.842
3,222.25,50,2.98,149.21,0.846
3,222.25,51,2.93,149.21,0.856
3,222.25,52,2.87,149.21,0.858
3,222.25,53,2.82,149.21,0.868
3,222.25,54,2.76,149.21,0.882
3,222.25,55,2.71,149.21,0.889
3,222.25,56,2.66,149.21,0.896
3,222.25,57,2.62,149.21,0.876
3,222.25,58,2.57,149.21,0.853
3,222.25,59,2.53,149.21,0.856
3,222.25,60,2.49,149.21,0.874
3,222.25,61,2.45,149.21,0.885
3,222.25,62,2.41,149.21,0.891
3,222.25,63,2.37,149.21,0.909
3,222.25,64,2.33,149.21,0.923
3,222.25,65,2.3,149.21,0.937
3,222.25,66,2.26,149.21,0.95
3,222.25,67,2.23,149.21,0.965
3,222.25,68,2.19,149.21,0.973
3,222.25,69,2.16,149.21,0.989
3,222.25,70,2.13,149.21,1.016
3,222.25,71,2.1,149.21,1.038
3,222.25,72,2.07,149.21,1.059
3,222.25,73,2.04,149.21,1.106
3,222.25,74,2.02,149.21,1.123
3,222.25,75,1.99,149.21,1.152
5,148.17,2,44.42,88.84,2.13
5,148.17,2.5,35.54,88.84,2.142
5,148.17,3,29.61,88.84,2.151
5,148.17,3.5,25.38,88.84,2.158
5,148.17,4,22.21,88.84,2.164
5,148.17,4.5,19.74,88.84,2.168
5,148.17,5,17.77,88.84,2.17
5,148.17,5.5,16.15,88.84,2.172
5,148.17,6,14.81,88.84,2.173
5,148.17,6.5,13.67,88.84,2.174
5,148.17,7,12.69,88.84,2.174
5,148.17,7.5,11.85,88.84,2.184
5,148.17,8,11.11,88.84,2.194
5,148.17,8.5,10.45,88.84,2.174
5,148.17,9,9.87,88.84,2.174
5,148.17,9.5,9.35,88.84,2.126
5,148.17,10,8.88,88.84,1.99
5,148.17,10.5,8.46,88.84,1.868
5,148.17,11,8.08,88.84,1.732
5,148.17,11.5,7.73,88.84,1.647
5,148.17,12,7.4,88.84,1.558
5,148.17,12.5,7.11,88.84,1.487
5,148.17,13,6.83,88.84,1.417
5,148.17,13.5,6.58,88.84,1.354
5,148.17,14,6.35,88.84,1.296
5,148.17,14.5,6.13,88.84,1.244
5,148.17,15,5.92,88.84,1.198
5,148.17,15.5,5.73,88.84,1.155
5,148.17,16,5.55,88.84,1.114
5,148.17,16.5,5.38,88.84,1.081
5,148.17,17,5.23,88.84,1.049
5,148.17,17.5,5.08,88.84,1.024
5,148.17,18,4.94,88.84,0.988
5,148.17,18.5,4.8,88.84,0.958
5,148.17,19,4.68,88.84,0.94
5,148.17,19.5,4.56,88.84,0.917
5,148.17,20,4.44,88.84,0.909
5,148.17,20.5,4.33,88.84,0.89
5,148.17,21,4.23,88.84,0.879
5,148.17,21.5,4.13,88.84,0.878
5,148.17,22,4.04,88.84,0.87
5,148.17,22.5,3.95,88.84,0.856
5,148.17,23,3.86,88.84,0.839
5,148.17,23.5,3.78,88.84,0.827
5,148.17,24,3.7,88.84,0.816
5,148.17,24.5,3.63,88.84,0.813
5,148.17,25,3.55,88.84,0.778
5,148.17,25.5,3.48,88.84,0.749
5,148.17,26,3.42,88.84,0.743
5,148.17,26.5,3.35,88.84,0.736
5,148.17,27,3.29,88.84,0.732
5,148.17,27.5,3.23,88.84,0.727
5,148.17,28,3.17,88.84,0.72
5,148.17,28.5,3.12,88.84,0.717
5,148.17,29,3.06,88.84,0.712
5,148.17,29.5,3.01,88.84,0.709
5,148.17,30,2.96,88.84,0.704
5,148.17,30.5,2.91,88.84,0.701
5,148.17,31,2.87,88.84,0.699
5,148.17,31.5,2.82,88.84,0.697
5,148.17,32,2.78,88.84,0.699
5,148.17,32.5,2.73,88.84,0.698
5,148.17,33,2.69,88.84,0.697
5,148.17,33.5,2.65,88.84,0.69
5,148.17,34,2.61,88.84,0.68
5,148.17,34.5,2.58,88.84,0.67
5,148.17,35,2.54,88.84,0.668
5,148.17,35.5,2.5,88.84,0.657
5,148.17,36,2.47,88.84,0.666
5,148.17,36.5,2.43,88.84,0.662
5,148.17,37,2.4,88.84,0.661
5,148.17,37.5,2.37,88.84,0.669
5,148.17,38,2.34,88.84,0.669
5,148.17,38.5,2.31,88.84,0.672
5,148.17,39,2.28,88.84,0.673
5,148.17,39.5,2.25,88.84,0.669
5,148.17,40,2.22,88.84,0.666
5,148.17,40.5,2.19,88.84,0.686
5,148.17,41,2.17,88.84,0.69
5,148.17,41.5,2.14,88.84,0.701
5,148.17,42,2.12,88.84,0.699
5,148.17,42.5,2.09,88.84,0.702
5,148.17,43,2.07,88.84,0.706
5,148.17,43.5,2.04,88.84,0.742
5,148.17,44,2.02,88.84,0.767
5,148.17,44.5,2,88.84,0.786
7,111.13,2,31.95,63.89,3.184
7,111.13,2.5,25.56,63.89,3.227
7,111.13,3,21.3,63.89,3.258
7,111.13,3.5,18.25,63.89,3.279
7,111.13,4,15.97,63.89,3.294
7,111.13,4.5,14.2,63.89,3.305
7,111.13,5,12.78,63.89,3.233
7,111.13,5.5,11.62,63.89,2.961
7,111.13,6,10.65,63.89,2.629
7,111.13,6.5,9.83,63.89,2.415
7,111.13,7,9.13,63.89,2.183
7,111.13,7.5,8.52,63.89,1.988
7,111.13,8,7.99,63.89,1.788
7,111.13,8.5,7.52,63.89,1.661
7,111.13,9,7.1,63.89,1.545
7,111.13,9.5,6.73,63.89,1.445
7,111.13,10,6.39,63.89,1.353
7,111.13,10.5,6.08,63.89,1.27
7,111.13,11,5.81,63.89,1.209
7,111.13,11.5,5.56,63.89,1.147
7,111.13,12,5.32,63.89,1.093
7,111.13,12.5,5.11,63.89,1.052
7,111.13,13,4.91,63.89,0.998
7,111.13,13.5,4.73,63.89,0.963
7,111.13,14,4.56,63.89,0.927
7,111.13,14.5,4.41,63.89,0.912
7,111.13,15,4.26,63.89,0.889
7,111.13,15.5,4.12,63.89,0.887
7,111.13,16,3.99,63.89,0.861
7,111.13,16.5,3.87,63.89,0.836
7,111.13,17,3.76,63.89,0.817
7,111.13,17.5,3.65,63.89,0.805
7,111.13,18,3.55,63.89,0.762
7,111.13,18.5,3.45,63.89,0.724
7,111.13,19,3.36,63.89,0.712
7,111.13,19.5,3.28,63.89,0.704
7,111.13,20,3.19,63.89,0.692
7,111.13,20.5,3.12,63.89,0.683
7,111.13,21,3.04,63.89,0.673
7,111.13,21.5,2.97,63.89,0.664
7,111.13,22,2.9,63.89,0.656
7,111.13,22.5,2.84,63.89,0.649
7,111.13,23,2.78,63.89,0.646
7,111.13,23.5,2.72,63.89,0.642
7,111.13,24,2.66,63.89,0.631
7,111.13,24.5,2.61,63.89,0.622
7,111.13,25,2.56,63.89,0.615
7,111.13,25.5,2.51,63.89,0.617
7,111.13,26,2.46,63.89,0.613
7,111.13,26.5,2.41,63.89,0.602
7,111.13,27,2.37,63.89,0.608
7,111.13,27.5,2.32,63.89,0.604
7,111.13,28,2.28,63.89,0.602
7,111.13,28.5,2.24,63.89,0.592
7,111.13,29,2.2,63.89,0.601
7,111.13,29.5,2.17,63.89,0.602
7,111.13,30,2.13,63.89,0.61
7,111.13,30.5,2.09,63.89,0.604
7,111.13,31,2.06,63.89,0.606
7,111.13,31.5,2.03,63.89,0.636
7,111.13,32,2,63.89,0.681
9,88.9,2,25.17,50.34,4.302
9,88.9,2.5,20.14,50.34,4.369
9,88.9,3,16.78,50.34,4.287
9,88.9,3.5,14.38,50.34,3.683
9,88.9,4,12.59,50.34,3.298
9,88.9,4.5,11.19,50.34,3.022
9,88.9,5,10.07,50.34,2.709
9,88.9,5.5,9.15,50.34,2.365
9,88.9,6,8.39,50.34,2.05
9,88.9,6.5,7.74,50.34,1.844
9,88.9,7,7.19,50.34,1.673
9,88.9,7.5,6.71,50.34,1.527
9,88.9,8,6.29,50.34,1.407
9,88.9,8.5,5.92,50.34,1.305
9,88.9,9,5.59,50.34,1.214
9,88.9,9.5,5.3,50.34,1.143
9,88.9,10,5.03,50.34,1.08
9,88.9,10.5,4.79,50.34,1.017
9,88.9,11,4.58,50.34,0.969
9,88.9,11.5,4.38,50.34,0.94
9,88.9,12,4.2,50.34,0.919
9,88.9,12.5,4.03,50.34,0.898
